ORIGIN,DEST,DISTANCE,CRS_ELAPSED_TIME
ABE,ATL,692.0,132.96884422110554
ABE,DTW,425.0,106.4744827586207
ABE,EWR,67.0,55.0
ABE,ORD,655.0,134.16786226685795
ABI,DFW,158.0,59.789808917197455
ABQ,ATL,1269.0,182.92903930131004
ABQ,AUS,619.0,100.0
ABQ,BWI,1670.0,222.0993031358885
ABQ,DAL,580.0,97.54112808460634
ABQ,DEN,349.0,80.16613076098606
ABQ,DFW,569.0,106.48794826572605
ABQ,HOU,759.0,119.12768031189084
ABQ,IAH,744.0,129.47130242825608
ABQ,JFK,1826.0,239.771875
ABQ,LAS,486.0,92.5
ABQ,LAX,677.0,122.40958788898234
ABQ,MCI,718.0,110.14492753623189
ABQ,MCO,1553.0,220.0
ABQ,MDW,1121.0,162.4438202247191
ABQ,MSP,981.0,157.3813953488372
ABQ,OAK,889.0,147.12729357798165
ABQ,ORD,1118.0,173.2675159235669
ABQ,PDX,1111.0,172.75
ABQ,PHX,328.0,74.32905982905983
ABQ,SAN,628.0,110.14792899408285
ABQ,SEA,1180.0,186.14647887323943
ABQ,SFO,896.0,158.8015873015873
ABQ,SLC,493.0,100.09980806142035
ABR,MSP,257.0,71.70532060027286
ABY,ATL,145.0,58.959917780061666
ACK,BOS,91.0,47.91228070175438
ACK,DCA,405.0,96.82978723404256
ACK,JFK,199.0,68.5051282051282
ACT,DEN,705.0,125.0
ACT,DFW,89.0,51.37434210526316
ACV,SFO,250.0,70.4364437913299
ACY,ATL,679.0,126.64761904761905
ACY,BOS,274.0,78.48550724637681
ACY,DTW,497.0,105.77931034482759
ACY,FLL,977.0,157.86374133949192
ACY,MCO,852.0,143.51472650771387
ACY,MYR,466.0,88.73669467787114
ACY,ORD,720.0,144.67142857142858
ACY,PBI,936.0,152.27631578947367
ACY,RSW,982.0,160.36111111111111
ACY,TPA,913.0,149.784
ADK,ANC,1192.0,164.7157894736842
ADQ,ANC,253.0,49.62674650698603
AEX,ATL,500.0,103.25395629238885
AEX,DFW,285.0,80.66098807495742
AEX,IAH,190.0,63.306517311608964
AGS,ATL,143.0,63.951035781544256
AGS,LGA,678.0,120.0
AKN,ANC,288.0,55.0
ALB,ATL,853.0,166.17886932344763
ALB,BWI,289.0,78.05363781200212
ALB,CLT,646.0,139.92505353319058
ALB,DEN,1610.0,245.0
ALB,DTW,489.0,113.54980842911877
ALB,EWR,143.0,68.22093023255815
ALB,FLL,1204.0,194.94179104477612
ALB,LAS,2237.0,328.875
ALB,MCO,1073.0,181.56902985074626
ALB,MDW,717.0,144.53716690042074
ALB,MSP,980.0,168.1755319148936
ALB,ORD,723.0,148.0454914703493
